experiment date,dataroot,name,model,netG,dataset_mode,batch_size,n_epochs,load_size,easy_label,gpu_ids,device,checkpoints_dir,input_nc,output_nc,ngf,ndf,netD,n_layers_D,norm,normG,normD,init_type,init_gain,no_dropout,no_antialias,no_antialias_up,direction,serial_batches,num_threads,crop_size,max_dataset_size,preprocess,no_flip,display_winsize,random_scale_max,min_clip,max_clip,epoch,load_iter,verbose,suffix,use_wandb,wandb_project_name,ngf_cytran,n_downsampling,depth,heads,dropout,stylegan2_G_num_downsampling,display_freq,display_ncols,display_id,display_server,display_env,display_port,update_html_freq,print_freq,no_html,save_latest_freq,save_epoch_freq,evaluation_freq,save_by_iter,continue_train,epoch_count,phase,pretrained_name,n_epochs_decay,beta1,beta2,lr,gan_mode,pool_size,lr_policy,lr_decay_iters,lambda_A,lambda_B,lambda_identity,isTrain,lambda_L1
06/22/2025 14:57:49,../invivo/data/,test_invivo,cycle_gan,resnet_9blocks,invivo,2,100,384.0,experiment_name,0,cuda,./checkpoints,1,1,64,64,basic,3,instance,instance,instance,normal,0.02,True,False,False,AtoB,False,2,,inf,resize_and_crop,False,256,3.0,-300,300,latest,0,False,,False,CycleGAN-and-pix2pix,16,3,3,6,0.05,1,400,4,1,http://localhost,main,8097,1000,100,False,5000,5,5000,False,False,0,train,,100,0.5,0.999,0.0002,lsgan,50,linear,50,10.0,10.0,0.5,True,
06/30/2025 05:01:43,../Ex-vivo/data/ex_vivo_cropped,test_pix2pix_exvivo_clip_cropped,pix2pix,unet_256,exvivo,40,100,,experiment_name,0,cuda,./checkpoints,1,1,64,64,basic,3,batch,instance,instance,normal,0.02,False,False,False,AtoB,False,4,,inf,resize_and_crop,False,256,3.0,-300,300,latest,0,False,,False,CycleGAN-and-pix2pix,16,3,3,6,0.05,1,400,4,1,http://localhost,main,8097,1000,100,False,5000,5,5000,False,False,0,train,,100,0.5,0.999,0.0002,vanilla,0,linear,50,,,,True,100.0
